Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
19,0.0,0.0,1799.0,19.0,39.0,1799.0,0.0,13.510000009999992,13.510000009999992,0.0,125.77970814704895,,,,,,,,,,,,,,,,3.142372241844755,3.9561165412427277,13.40084834090897,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,1877.0,20.0,78.0,1877.0,0.0,25.320000010000058,25.320000010000058,0.0,131.44628190994263,,,,,,,,,,,,,,,,5.613106551897421,7.081244391341347,24.907084783735733,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,265.0,1.0,265.0,2142.0,0.0,154.71000001000002,154.71000001000002,0.0,269.06028175354004,,,,,,,,,,,,,,,,68.63181073894023,39.883460064305616,136.65922939357458,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,381.0,2.0,116.0,2258.0,0.0,64.61800001000007,64.61800001000007,0.0,277.2995135784149,,,,,,,,,,,,,,,,18.659211841689725,20.248023405745027,62.51604748384785,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,532.0,3.0,151.0,2409.0,0.0,91.11100000999993,91.11100000999993,0.0,288.074022769928,,,,,,,,,,,,,,,,30.00304355107314,26.952971979637088,86.66720764142934,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,624.0,4.0,92.0,2501.0,0.0,64.30900001000003,64.30900001000003,0.0,294.6376385688782,,,,,,,,,,,,,,,,22.693378992302893,20.63127966324713,62.28349263534347,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,688.0,5.0,64.0,2565.0,0.0,22.21400001000005,22.21400001000005,0.0,299.368332862854,,,,,,,,,,,,,,,,4.946068848295671,6.288358557291107,21.919370974683762,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,750.0,6.0,62.0,2627.0,0.0,23.71300001000004,23.71300001000004,0.0,303.90167260169983,,,,,,,,,,,,,,,,5.77779593009844,6.907439841051085,23.37815481715105,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,824.0,7.0,74.0,2701.0,0.0,36.313000009999996,36.313000009999996,0.0,309.33321952819824,,,,,,,,,,,,,,,,9.783515560570487,11.220097693847844,35.6246445030208,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,889.0,8.0,65.0,2766.0,0.0,21.614000010000048,21.614000010000048,0.0,314.1507170200348,,,,,,,,,,,,,,,,5.015836827842711,6.090354909074465,21.309279896086313,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,1016.0,9.0,127.0,2893.0,0.0,88.21300000999996,88.21300000999996,0.0,323.09864020347595,,,,,,,,,,,,,,,,31.61325325219709,27.617686336647022,84.28239924621715,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,1076.0,10.0,60.0,2953.0,0.0,23.214000010000042,23.214000010000042,0.0,327.553763628006,,,,,,,,,,,,,,,,5.389720404093085,6.8277135558631405,22.913530316070478,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,1205.0,11.0,129.0,3082.0,0.0,77.31200000999998,77.31200000999998,0.0,336.8151078224182,,,,,,,,,,,,,,,,29.574214599389318,22.548759602697316,73.57049682350225,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,1267.0,12.0,62.0,3144.0,0.0,34.710000009999995,34.710000009999995,0.0,341.3490905761719,,,,,,,,,,,,,,,,10.326378858075591,11.102511402695555,34.10386838918851,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,1390.0,13.0,123.0,3267.0,0.0,74.31300000999995,74.31300000999995,0.0,350.0454480648041,,,,,,,,,,,,,,,,23.859555120370562,22.763815726782415,71.44972445464907,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,1477.0,14.0,87.0,3354.0,0.0,58.91000001,58.91000001,0.0,356.5706844329834,,,,,,,,,,,,,,,,20.17249454259479,19.03280271478667,57.212205189984246,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,1542.0,15.0,65.0,3419.0,0.0,17.41200001000003,17.41200001000003,0.0,361.3188102245331,,,,,,,,,,,,,,,,3.9422411425700963,4.641610448926289,17.172927262995938,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,1766.0,16.0,224.0,3643.0,0.0,90.51200001,90.51200001,0.0,376.8035578727722,,,,,,,,,,,,,,,,34.88569233308363,23.094663795486444,82.78038531270207,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,1913.0,17.0,147.0,3790.0,0.0,99.31100000999997,99.31100000999997,0.0,387.11963725090027,,,,,,,,,,,,,,,,36.1966105612717,29.267155201283053,94.084182439933,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,2009.0,18.0,96.0,3886.0,0.0,56.31100001,56.31100001,0.0,394.03122901916504,,,,,,,,,,,,,,,,17.50266152464742,17.591494732375295,54.68542993356743,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,2057.0,19.0,48.0,3934.0,0.0,16.812000010000023,16.812000010000023,0.0,397.74739813804626,,,,,,,,,,,,,,,,3.8690638597577327,4.875398421181295,16.642927872604236,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
